,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
0,0.1564227047265158,0.1007283320947455,0.663259995056103,0.8693059870658657,0.6632526994870838,0.8692673591069315
1,0.16098645839396283,0.0991809061678146,0.6654236687330644,0.8713857042764128,0.6650384104339646,0.8713303677448644
2,0.15648420888113307,0.10047584388018407,0.6913852661348655,0.8671029645589502,0.6913850117492006,0.867074165102921
3,0.15826790641902325,0.10073244087181954,0.6742047868947088,0.8674565566588198,0.6742002386420212,0.8674167249517766
4,0.16222123732922747,0.0993047746104571,0.65790723872674,0.8713970203688306,0.6563085395340029,0.8712850500632465
0,0.1564367285774298,0.10070834321290234,0.6631985271516645,0.869359062253254,0.6631923155979225,0.869319240041944
1,0.16098610061019547,0.099153090972761,0.6654121312490948,0.8714582094861311,0.6650398993006366,0.8714025281877832
2,0.1565043729612916,0.10040375711721934,0.6913055402062809,0.867293921705756,0.6913054722437116,0.8672648329369472
3,0.1583731740892577,0.10067425956915871,0.6737708359611152,0.8676121150169482,0.673766700495066,0.8675698363007884
4,0.1621729532813055,0.09926965085491518,0.6581209662316103,0.8714940153485256,0.6565131039369602,0.8713760860266486
0,0.15639956887153875,0.10068299856313974,0.6633569040014652,0.8694303925677367,0.6633523060059596,0.8693850070126545
1,0.16090559584517006,0.09911406790897764,0.6657528256771825,0.8715606954464579,0.6653748243860362,0.87150373087933
2,0.15637113310949619,0.10036231565455063,0.6918308659527268,0.8674054092934169,0.6918308620993556,0.8673743827071674
3,0.15825300350279486,0.10064762977172491,0.6742661712959364,0.8676844546937581,0.6742615920530021,0.8676398864214787
4,0.16210611250897647,0.09922337003341429,0.6583933893380242,0.8716163441034372,0.6567961868753629,0.8714959904024648
0,0.15640517236857743,0.10062914799870926,0.6633314184550105,0.869573396932487,0.6633281826894681,0.8695246891874365
1,0.16090231407779962,0.09906018104646208,0.6657750535549832,0.8717014061461835,0.6653884740142924,0.8716434159638892
2,0.15636713452707804,0.10034715376514629,0.691846798571172,0.8674441273963759,0.6918466223476477,0.8674144515923259
3,0.15830796469082606,0.1006335354943763,0.6740382907803392,0.8677205951973581,0.6740352951949582,0.8676769541504464
4,0.1621051247682987,0.09918129673828359,0.6584174872942471,0.8717276312922311,0.6568003692634168,0.8716049453966869
0,0.15639782547408684,0.10060474161182988,0.6633641518136975,0.8696355152232803,0.6633598112371435,0.8695879719400894
1,0.16092276992996687,0.0990028553354069,0.6657050167416878,0.8718526976857822,0.6653033888613171,0.8717919318117423
2,0.15638776487977882,0.10033808683989347,0.6917653631601104,0.8674680789490306,0.6917653043358636,0.8674384101980608
3,0.15832727567663066,0.10060490661714624,0.6739587437871692,0.867796265837087,0.6739557656055928,0.8677522316682516
4,0.16211602190877014,0.09914618855852037,0.6583975096997023,0.8718190583216674,0.6567542261165658,0.8716958278308862
0,0.15636198139222257,0.10058378091513213,0.6635180252690521,0.8696899931441198,0.6635140995171673,0.8696423081902707
1,0.16094366619004694,0.09896480306040238,0.6656197018826302,0.8719510014056623,0.665216460684201,0.8718904677800707
2,0.15638275851480382,0.10031710052472038,0.6917851169691294,0.8675242048143804,0.6917850387528857,0.8674938565087723
3,0.15832570953147246,0.10056843323162536,0.6739650956252577,0.8678921238742783,0.6739622159164609,0.8678481047153752
4,0.16211459590784794,0.09910861224036943,0.6584067851173805,0.8719162308926265,0.6567602645898963,0.8717930637377551
0,0.15636890469713313,0.10054903059355015,0.6634879738217387,0.8697809613214096,0.6634843014033213,0.8697323662323966
1,0.16093875414909403,0.09894445794205013,0.665633142336856,0.8720030548269423,0.66523689572709,0.8719431357105494
2,0.1563179894205882,0.1003004061556927,0.6920403263026338,0.8675687895146547,0.6920402928493472,0.8675379551197046
3,0.1583357709508889,0.1005305094331259,0.6739234975562325,0.8679922568542063,0.6739207759363853,0.8679477534171516
4,0.1621150566716766,0.09906572579335833,0.6583897457445349,0.8720264948225156,0.6567583134678705,0.8719039955776567
0,0.15634583526354143,0.10054840621113012,0.6635886224027422,0.8697835454101986,0.6635835878172512,0.8697339840812689
1,0.16092282598599322,0.09893694276543218,0.6657037630127329,0.8720213137328652,0.6653031556840565,0.8719625877025986
2,0.15625851156552664,0.10029819484535987,0.6922746965883548,0.8675748958129879,0.6922746011102637,0.8675437958031245
3,0.15827415053746993,0.10050867793741788,0.6741788128331347,0.8680516529707156,0.6741745306829543,0.8680051008839361
4,0.16209310656371645,0.0990544335360972,0.6585171445388868,0.8720590756971749,0.6568512558776869,0.8719331966072438
0,0.156346888753782,0.10052297258573571,0.6635840830625719,0.8698460951677123,0.6635790541166835,0.8697998770804296
1,0.16096298128311975,0.09891439836544136,0.6655294209505523,0.8720800263073597,0.6651361001034592,0.8720209318900134
2,0.1562538083014897,0.10027951795474875,0.6922931514128511,0.8676232368805186,0.6922931254390292,0.8675931215104556
3,0.15829116585678044,0.10050404341676274,0.6741070260805906,0.8680619912194523,0.674104470949419,0.8680172733449649
4,0.16212067950906725,0.09901081803022392,0.6583670099036255,0.872169587463795,0.6567345029014883,0.8720459521593749
0,0.15632514405101233,0.10051070818761801,0.6636780778387353,0.8698777626784389,0.663672626362623,0.8698316455148534
1,0.1609512418491965,0.09888172566957704,0.6655776034016525,0.8721637666270469,0.6651849432503969,0.8721054641856123
2,0.15624555304964877,0.1002628689185466,0.6923256761947973,0.86766801615714,0.6923256383187859,0.8676370839059732
3,0.1582861868134577,0.10047545531448518,0.6741273634730962,0.8681361677656485,0.6741249726928848,0.8680923469227262
4,0.16211978793171158,0.09899002587514946,0.6583619976870747,0.8722232577175867,0.6567382784457751,0.8720996869150986
0,0.15637426621831058,0.10044867615248755,0.663466283879252,0.8700396100518961,0.6634612243474378,0.8699922675299069
1,0.16100049172095918,0.09884996328548974,0.6653556924451279,0.8722419263524324,0.664980010113301,0.8721876145104448
2,0.15628142361168165,0.10022879645496671,0.6921844819136935,0.8677588749050142,0.6921843514926943,0.867727030750278
3,0.15829008017594862,0.10044354575842343,0.6741120710728878,0.8682205559973075,0.6741089414113526,0.8681761175562726
4,0.1621436820616026,0.09896632126144618,0.6582523239063481,0.8722857017507841,0.6566370872871854,0.8721609347929453
0,0.15625471389795278,0.10041166973617596,0.6639794077109937,0.8701430153124926,0.6639756134794796,0.8700880424912203
